Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Add_Tiling,47.02,1,47.02,47.02,47.02,0
host,acl,ArgMaxV2_Tiling,29.2,1,29.2,29.2,29.2,0
host,acl,AsStrided_Tiling,9.67,1,9.67,9.67,9.67,0
host,acl,BroadcastTo_Tiling,811.49,47,17.266,13.97,27.96,9.576
host,acl,Cast_Tiling,2988.7,150,19.925,4.79,76.41,207.837
host,acl,ConcatD_Tiling,124.18,1,124.18,124.18,124.18,0
host,acl,Cos_Tiling,28.21,1,28.21,28.21,28.21,0
host,acl,Cumsum_Tiling,7.16,1,7.16,7.16,7.16,0
host,acl,Fill_Tiling,912.19,55,16.585,11.79,67.11,128.553
host,acl,GatherElements_Tiling,11.7,1,11.7,11.7,11.7,0
host,acl,GatherV2_Tiling,1119.37,49,22.844,17.66,165.72,431.775
host,acl,GatherV3_Tiling,2203.93,98,22.489,0.35,85.43,548.491
host,acl,GreaterEqual_Tiling,41.18,1,41.18,41.18,41.18,0
host,acl,Index_Tiling,54.43,3,18.143,8,36.37,166.813
host,acl,LessEqual_Tiling,40.32,1,40.32,40.32,40.32,0
host,acl,Less_Tiling,55.55,1,55.55,55.55,55.55,0
host,acl,LinearOperation::Execute,260,1,260,260,260,0
host,acl,LinearOperation::Setup,188402.18,1,188402.18,188402.18,188402.18,0
host,acl,Log_Tiling,11.94,1,11.94,11.94,11.94,0
host,acl,MaskedFill_Tiling,61.25,2,30.625,18.46,42.79,147.987
host,acl,MatMulV2_Tiling,1004802.62,196,5126.544,0.64,980556.74,4879306668.099
host,acl,MatMulV3_Tiling,11556.38,8,1444.548,0.44,11168.74,13512327.034
host,acl,Mul_Tiling,132.38,3,44.127,27.57,56.83,150.115
host,acl,Neg_Tiling,28.4,1,28.4,28.4,28.4,0
host,acl,OnesLike_Tiling,45.53,3,15.177,6.5,23,45.739
host,acl,PagedAttentionOperation::Execute,110662.72,3564,31.05,27.2,896.52,217.803
host,acl,PagedAttentionOperation::Setup,96396.98,3564,27.047,22.41,483.92,159.601
host,acl,Pow_Tiling,58.61,1,58.61,58.61,58.61,0
host,acl,Range_Tiling,173.56,2,86.78,41.62,131.94,2039.426
host,acl,RealDiv_Tiling,117.36,3,39.12,17.48,78.8,789.411
host,acl,Reciprocal_Tiling,37.03,1,37.03,37.03,37.03,0
host,acl,ReduceSum_Tiling,845.98,2,422.99,1.93,844.05,177291.524
host,acl,ReshapeAndCacheOperation::Execute,93481.94,3600,25.967,22.22,188.91,20.701
host,acl,ReshapeAndCacheOperation::Setup,61933.71,3600,17.204,12.26,6668.01,12314.486
host,acl,SelfAttentionOperation::Execute,1319.28,36,36.647,28.45,237.74,1161.837
host,acl,SelfAttentionOperation::Setup,1626.64,36,45.184,29.3,502.97,5995.037
host,acl,Sin_Tiling,23.61,1,23.61,23.61,23.61,0
host,acl,Slice_Tiling,77322.55,6936,11.148,5.23,388.71,60.703
host,acl,SoftmaxV2_Tiling,45.26,2,22.63,1.19,44.07,459.674
host,acl,Sort_Tiling,38.19,2,19.095,0.99,37.2,327.791
host,acl,Sub_Tiling,58.29,1,58.29,58.29,58.29,0
host,acl,TensorMove_Tiling,6.78,1,6.78,6.78,6.78,0
host,acl,Tile_Tiling,1185.34,49,24.191,16.49,89.17,157.165
host,acl,ZerosLike_Tiling,167.02,10,16.702,4.21,46.33,172.602
host,acl,aclCreateDataBuffer,228.01,288,0.792,0.57,2.94,0.04
host,acl,aclCreateTensorDesc,367.9,288,1.277,0.67,3.03,0.129
host,acl,aclDestroyTensorDesc,232.63,288,0.808,0.66,6.63,0.125
host,acl,aclmdlRIExecuteAsync,77651.69,3700,20.987,15.75,205.45,103.105
host,acl,aclnnAddRmsNorm,108741.54,6984,15.57,8.15,345.57,63.064
host,acl,aclnnAddRmsNormGetWorkspaceSize,52217.77,6984,7.477,3.99,1349,312.425
host,acl,aclnnAddRmsNormTiling,2175.1,51,42.649,32.3,126.44,201.495
host,acl,aclnnAddsGetWorkspaceSize,5977.85,1,5977.85,5977.85,5977.85,0
host,acl,aclnnArange,823.41,2,411.705,122.34,701.07,83732.103
host,acl,aclnnArangeGetWorkspaceSize,4461.68,2,2230.84,72.8,4388.88,4657136.642
host,acl,aclnnArgMax,1907.82,100,19.078,10.55,671.41,4302.398
host,acl,aclnnArgMaxGetWorkspaceSize,3670.51,1,3670.51,3670.51,3670.51,0
host,acl,aclnnCast,16546.24,298,55.524,5.53,955.91,12191.917
host,acl,aclnnCastGetWorkspaceSize,17337.25,52,333.409,32.34,13624.57,3481267.49
host,acl,aclnnCat,2228.05,1,2228.05,2228.05,2228.05,0
host,acl,aclnnCatGetWorkspaceSize,89778.58,1,89778.58,89778.58,89778.58,0
host,acl,aclnnContiguous,440214.7,6840,64.359,31.76,87129.95,1108691.106
host,acl,aclnnContiguousGetWorkspaceSize,294679.54,6840,43.082,24.33,78625.29,903071.097
host,acl,aclnnCos,622.87,1,622.87,622.87,622.87,0
host,acl,aclnnCosGetWorkspaceSize,1271.09,1,1271.09,1271.09,1271.09,0
host,acl,aclnnCumsum,4828.06,100,48.281,11.39,3544.14,123446.279
host,acl,aclnnCumsumGetWorkspaceSize,10470.9,1,10470.9,10470.9,10470.9,0
host,acl,aclnnDivGetWorkspaceSize,65.35,2,32.675,27.76,37.59,24.157
host,acl,aclnnDivs,4218.29,1,4218.29,4218.29,4218.29,0
host,acl,aclnnDivsGetWorkspaceSize,6594.07,1,6594.07,6594.07,6594.07,0
host,acl,aclnnEmbedding,11850.84,97,122.174,15.29,7756.71,607612.427
