Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
7,MatMulV2,AI_CORE,18651,9690954.98,19.14,519.594,2952.18,71.596
7,PagedAttentionMaskNdKernel,MIX_AIC,2879,1426372.3,15.26,495.44,577.88,10.538
7,MatMulV3,AI_CORE,144,1194981.12,3676.8,8298.48,16210.14,8.828
7,rope_custom_true_half,AI_CORE,4679,530692.82,8.82,113.42,11022.3,3.921
7,SwiGlu,AI_VECTOR_CORE,4678,155761.46,4.04,33.296,2895.58,1.151
7,AddRmsNorm,AI_VECTOR_CORE,9357,143248.84,1.74,15.309,1110.46,1.058
7,RmsNorm,AI_VECTOR_CORE,9488,131711.76,3,13.881,1029.28,0.973
7,Slice,AI_VECTOR_CORE,3626,56127.6,1.34,15.479,837.94,0.415
7,Cumsum,AI_VECTOR_CORE,80,50642.6,596.72,633.032,678.86,0.374
7,Fill,AI_VECTOR_CORE,4171,35707.58,1.2,8.56,264.12,0.264
7,TransData,AI_VECTOR_CORE,144,22671.06,47.62,157.437,372.78,0.167
7,Sort,MIX_AIV,80,22246.28,263.6,278.078,301.48,0.164
7,UnpadFlashAttentionNdKernel,MIX_AIC,36,13564.42,25.28,376.789,528.32,0.1
7,SoftmaxV2,AI_VECTOR_CORE,160,12821.28,57.84,80.133,107.4,0.095
7,ZerosLike,AI_VECTOR_CORE,80,11302.12,1.06,141.276,210.92,0.083
7,ReshapeAndCacheNdKernel,AI_VECTOR_CORE,2915,9432.44,2.26,3.235,6.34,0.07
7,GatherV2,AI_VECTOR_CORE,130,3408.56,2.86,26.219,1829.84,0.025
7,Cast,AI_VECTOR_CORE,803,2758.92,1.14,3.435,16.44,0.02
7,GatherV3,AI_VECTOR_CORE,130,2638.6,3.62,20.296,1461.12,0.019
7,ArgMaxV2,AI_VECTOR_CORE,80,1990.82,23.08,24.885,26.88,0.015
7,MaskedFill,AI_VECTOR_CORE,160,1664.34,5.52,10.402,18.34,0.012
7,ReduceSum,MIX_AIV,80,1525.32,17.16,19.066,20.72,0.011
7,GatherElements,AI_VECTOR_CORE,80,1363.82,10.46,17.047,21.12,0.01
7,RealDiv,AI_VECTOR_CORE,161,1331.14,1.42,8.267,12.54,0.01
7,DSARandomUniform,DSA_SQE,80,1236.64,15.4,15.458,16.8,0.009
7,MemSet,AI_VECTOR_CORE,80,1223.46,14.56,15.293,17.5,0.009
7,GreaterEqual,AI_VECTOR_CORE,80,1058.82,8.76,13.235,17.4,0.008
7,LessEqual,AI_VECTOR_CORE,80,950.06,11,11.875,13.44,0.007
7,Less,AI_VECTOR_CORE,80,820.9,8.94,10.261,12.1,0.006
7,Index,AI_VECTOR_CORE,81,788.58,8.06,9.735,27.42,0.006
7,Tile,AI_VECTOR_CORE,130,784.28,1.86,6.032,25.08,0.006
7,TensorMove,AI_VECTOR_CORE,80,674.68,7.2,8.433,11.72,0.005
7,Mul,AI_VECTOR_CORE,82,669.32,1.98,8.162,23.58,0.005
7,Add,AI_VECTOR_CORE,80,626.96,7.54,7.837,9.28,0.005
7,Neg,AI_VECTOR_CORE,80,572.58,6.74,7.157,8.44,0.004
7,Log,AI_VECTOR_CORE,80,549.56,6.6,6.869,10.1,0.004
7,AsStrided,AI_VECTOR_CORE,36,200.62,4.74,5.572,8.38,0.001
7,BroadcastTo,AI_VECTOR_CORE,96,167.14,1.24,1.741,2.96,0.001
7,OnesLike,AI_VECTOR_CORE,145,162.26,0.86,1.119,2.14,0.001
7,Sub,AI_VECTOR_CORE,80,138.68,1.5,1.733,2.1,0.001
7,Cos,AI_VECTOR_CORE,1,54.74,54.74,54.74,54.74,0
7,Sin,AI_VECTOR_CORE,1,51.28,51.28,51.28,51.28,0
7,ConcatD,AI_VECTOR_CORE,1,25.72,25.72,25.72,25.72,0
7,Range,AI_VECTOR_CORE,2,15.22,4.68,7.61,10.54,0
7,PpMatmulAccumAtomicKernel,AI_CORE,1,4.94,4.94,4.94,4.94,0
7,Pow,AI_VECTOR_CORE,1,3.92,3.92,3.92,3.92,0
7,Reciprocal,AI_VECTOR_CORE,1,1.52,1.52,1.52,1.52,0
