Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Add_Tiling,44.56,1,44.56,44.56,44.56,0
host,acl,ArgMaxV2_Tiling,11.47,1,11.47,11.47,11.47,0
host,acl,BroadcastTo_Tiling,41.44,2,20.72,13.86,27.58,47.06
host,acl,Cast_Tiling,259.72,14,18.551,8.51,33.9,49.137
host,acl,ConcatD_Tiling,50.53,1,50.53,50.53,50.53,0
host,acl,Cos_Tiling,38.46,1,38.46,38.46,38.46,0
host,acl,Cumsum_Tiling,7.4,1,7.4,7.4,7.4,0
host,acl,Fill_Tiling,230.98,7,32.997,11.88,74.33,428.219
host,acl,GatherElements_Tiling,10.66,1,10.66,10.66,10.66,0
host,acl,GatherV2_Tiling,93.13,3,31.043,22.11,46.03,113.682
host,acl,GreaterEqual_Tiling,42.59,1,42.59,42.59,42.59,0
host,acl,Index_Tiling,23.69,3,7.897,7.04,8.54,0.398
host,acl,LessEqual_Tiling,42.54,1,42.54,42.54,42.54,0
host,acl,Less_Tiling,46.74,1,46.74,46.74,46.74,0
host,acl,LinearOperation::Execute,239.52,1,239.52,239.52,239.52,0
host,acl,LinearOperation::Setup,184718.67,1,184718.67,184718.67,184718.67,0
host,acl,Log_Tiling,12.85,1,12.85,12.85,12.85,0
host,acl,MaskedFill_Tiling,56.88,2,28.44,16.34,40.54,146.41
host,acl,MatMulV2_Tiling,764689.59,16,47793.099,0.55,763550.72,34153934723.311
host,acl,MatMulV3_Tiling,768457.75,4,192114.438,1.78,761492.24,108071767222.053
host,acl,Mul_Tiling,143.64,3,47.88,26.89,63.6,238.49
host,acl,Neg_Tiling,22.61,1,22.61,22.61,22.61,0
host,acl,OnesLike_Tiling,37.24,2,18.62,16.31,20.93,5.336
host,acl,PagedAttentionOperation::Execute,88956.51,2376,37.44,30.53,1047.29,446.422
host,acl,PagedAttentionOperation::Setup,87035.73,2376,36.631,29.23,488.34,242.244
host,acl,Pow_Tiling,43.65,1,43.65,43.65,43.65,0
host,acl,Range_Tiling,89.17,2,44.585,33.18,55.99,130.074
host,acl,RealDiv_Tiling,126.7,3,42.233,23.61,78.1,643.526
host,acl,Reciprocal_Tiling,32.97,1,32.97,32.97,32.97,0
host,acl,ReduceSum_Tiling,351.13,2,175.565,1.64,349.49,30249.906
host,acl,ReshapeAndCacheOperation::Execute,88493.86,2400,36.872,28.84,2093.9,2268.599
host,acl,ReshapeAndCacheOperation::Setup,81030.46,2400,33.763,23.79,5818.49,13963.846
host,acl,SelfAttentionOperation::Execute,1248.63,24,52.026,34.19,280.11,2351.013
