Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
4,MatMulV2,AI_CORE,9749,4147340.18,8.44,425.411,12203.46,72.869
4,PagedAttentionMaskNdKernel,MIX_AIC,2376,562207.98,13.46,236.619,634.24,9.878
4,rope_custom_true_half,AI_CORE,2424,253119.22,4.06,104.422,11024.94,4.447
4,MatMulV3,AI_CORE,48,245355.7,1482.74,5111.577,8891.46,4.311
4,SwiGlu,AI_VECTOR_CORE,2424,120774.12,3.18,49.824,4600.12,2.122
4,AddRmsNorm,AI_VECTOR_CORE,4848,69208.98,1.76,14.275,1263.6,1.216
4,Cumsum,AI_VECTOR_CORE,100,67839.94,642.02,678.399,706.8,1.192
4,ZerosLike,AI_VECTOR_CORE,56,56355.34,1.04,1006.345,1251.16,0.99
4,aes_cipher_kernel_npu,AI_CORE,1003,39284.92,1.82,39.167,395.02,0.69
4,TransData,AI_VECTOR_CORE,2520,30446.48,6,12.081,55.52,0.535
4,Sort,MIX_AIV,100,29791.32,276.76,297.913,309.12,0.523
4,SoftmaxV2,AI_VECTOR_CORE,200,16076.14,60.66,80.38,104.14,0.282
4,UnpadFlashAttentionNdKernel,MIX_AIC,24,7483.16,14.74,311.798,609.5,0.131
4,GatherV2,AI_VECTOR_CORE,101,6425.3,3.02,63.616,5586.6,0.113
4,ReshapeAndCacheNdKernel,AI_VECTOR_CORE,2400,5986.44,1.84,2.494,4.38,0.105
4,Fill,AI_VECTOR_CORE,626,5717.1,1.2,9.132,174.28,0.1
4,Cast,AI_VECTOR_CORE,706,3222.58,1.16,4.564,24.4,0.057
4,ArgMaxV2,AI_VECTOR_CORE,100,2600.5,22.38,26.005,28.3,0.046
4,MaskedFill,AI_VECTOR_CORE,200,2382.06,5.46,11.91,21.98,0.042
4,ReduceSum,MIX_AIV,100,2100.52,20.14,21.005,22.58,0.037
4,GatherElements,AI_VECTOR_CORE,100,1968.66,17.88,19.686,23.12,0.035
4,RealDiv,AI_VECTOR_CORE,201,1760.74,1.48,8.759,13.6,0.031
4,DSARandomUniform,DSA_SQE,100,1540.74,15.34,15.407,16.98,0.027
4,MemSet,AI_VECTOR_CORE,100,1440.84,13.32,14.408,17.56,0.025
4,RmsNorm,AI_VECTOR_CORE,101,1317.18,5.36,13.041,681.38,0.023
4,Less,AI_VECTOR_CORE,100,1253.98,11.28,12.539,13.3,0.022
4,LessEqual,AI_VECTOR_CORE,100,1080.68,9.74,10.806,13.4,0.019
4,GreaterEqual,AI_VECTOR_CORE,100,1076.6,8.14,10.766,15.44,0.019
4,TensorMove,AI_VECTOR_CORE,100,1000.78,8.42,10.007,13.5,0.018
4,Index,AI_VECTOR_CORE,101,981.9,8.24,9.721,75.52,0.017
4,Log,AI_VECTOR_CORE,100,870.56,8.2,8.705,14.04,0.015
4,Neg,AI_VECTOR_CORE,100,867.02,8.32,8.67,9.52,0.015
4,Mul,AI_VECTOR_CORE,102,854.36,2.26,8.376,29.28,0.015
4,Add,AI_VECTOR_CORE,100,768.66,6.96,7.686,10.56,0.014
4,PpMatmulAccumAtomicKernel,AI_CORE,1,488.14,488.14,488.14,488.14,0.009
4,Sub,AI_VECTOR_CORE,100,184.38,1.58,1.843,2.5,0.003
4,Cos,AI_VECTOR_CORE,1,85.18,85.18,85.18,85.18,0.001
4,Sin,AI_VECTOR_CORE,1,81.82,81.82,81.82,81.82,0.001
4,OnesLike,AI_VECTOR_CORE,49,63.38,0.94,1.293,1.62,0.001
4,Slice,AI_VECTOR_CORE,24,40.06,1.42,1.669,2.5,0.001
4,ConcatD,AI_VECTOR_CORE,1,36.68,36.68,36.68,36.68,0.001
4,Range,AI_VECTOR_CORE,2,17.88,5.96,8.94,11.92,0
4,Pow,AI_VECTOR_CORE,1,4.16,4.16,4.16,4.16,0
4,BroadcastTo,AI_VECTOR_CORE,2,3.18,1.5,1.59,1.68,0
4,Reciprocal,AI_VECTOR_CORE,1,1.48,1.48,1.48,1.48,0
