Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
4,N/A,PROFILING_ENABLE,15,4,0.000,1764309557098354.330	,1764309557098354.330	
4,N/A,TASK_TIMEOUT_SET,15,5,73.720,1764309570346477.230	,1764309570346550.950	
4,N/A,TASK_TIMEOUT_SET,15,6,105.860,1764309570444646.030	,1764309570444751.890	
4,N/A,EVENT_RECORD,15,7,0.020,1764309570444751.910	,1764309570444751.930	
4,N/A,TASK_TIMEOUT_SET,15,8,57.840,1764309570445917.750	,1764309570445975.590	
4,N/A,EVENT_RECORD,15,9,0.020,1764309570445975.610	,1764309570445975.630	
4,N/A,TASK_TIMEOUT_SET,15,10,55.440,1764309570458733.990	,1764309570458789.430	
4,N/A,EVENT_RECORD,15,11,0.020,1764309570458789.450	,1764309570458789.470	
4,N/A,TASK_TIMEOUT_SET,15,12,55.680,1764309570464737.770	,1764309570464793.450	
4,N/A,EVENT_RECORD,15,13,0.020,1764309570464793.470	,1764309570464793.490	
4,N/A,TASK_TIMEOUT_SET,15,14,52.880,1764309570470580.030	,1764309570470632.910	
4,N/A,EVENT_RECORD,15,15,0.000,1764309570470632.930	,1764309570470632.930	
4,N/A,TASK_TIMEOUT_SET,15,16,32.420,1764309570476342.970	,1764309570476375.390	
4,N/A,EVENT_RECORD,15,17,0.000,1764309570476377.050	,1764309570476377.050	
4,N/A,TASK_TIMEOUT_SET,15,18,43.860,1764309570484158.230	,1764309570484202.090	
4,N/A,EVENT_RECORD,15,19,0.020,1764309570484202.110	,1764309570484202.130	
4,N/A,TASK_TIMEOUT_SET,15,20,36.840,1764309570490494.950	,1764309570490531.790	
4,N/A,EVENT_RECORD,15,21,0.020,1764309570490533.270	,1764309570490533.290	
4,aclnnInplaceZero_ZerosLikeAiCore_ZerosLike,AI_VECTOR_CORE,23,0,9.980,1764309572690785.550	,1764309572690795.530	
4,aclnnInplaceZero_ZerosLikeAiCore_ZerosLike,AI_VECTOR_CORE,23,1,13.560,1764309572692168.750	,1764309572692182.310	
4,aclnnInplaceZero_ZerosLikeAiCore_ZerosLike,AI_VECTOR_CORE,23,2,1.040,1764309572692253.710	,1764309572692254.750	
4,aclnnInplaceZero_ZerosLikeAiCore_ZerosLike,AI_VECTOR_CORE,23,3,1.040,1764309572692305.910	,1764309572692306.950	
